,Наименование,Длина,"Цена за 1пог.м, руб. с НДС","Цена за 1пог.м, руб. с НДС.1",Поставщик,Поставщик.1,Город,Размер,Подраздел,Раздел
0,Арматура СП 6,бухты 50,9.0,,Стройсталь Мск (800) 250-72-28,,Москва,6,Арматура СП,Металлопрокат
1,Арматура СП 6,бухты 100,12.2,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ Врнж (473) 207-55-55,,Воронеж,6,Арматура СП,Металлопрокат
2,Арматура СП 6,бухты 100,12.2,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ СО (4725) 42-48-54,,Старый Оскол,6,Арматура СП,Металлопрокат
3,Арматура СП 6,бухты 100,13.5,,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,6,Арматура СП,Металлопрокат
4,Арматура СП 6,бухты 100,13.5,,МеталлСервисГрупп Мск (4932) 930-330,,Москва,6,Арматура СП,Металлопрокат
5,Арматура СП 6,бухты 50,19.0,,Российский металл Уфа (347) 222-20-18,,Уфа,6,Арматура СП,Металлопрокат
0,Арматура СП 8,бухты 50,13.8,,Стройсталь Мск (800) 250-72-28,,Москва,8,Арматура СП,Металлопрокат
1,Арматура СП 8,бухты 100,21.0,,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,8,Арматура СП,Металлопрокат
2,Арматура СП 8,бухты 100,21.0,,МеталлСервисГрупп Мск (4932) 930-330,,Москва,8,Арматура СП,Металлопрокат
3,Арматура СП 8,бухты 50,23.0,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ Врнж (473) 207-55-55,,Воронеж,8,Арматура СП,Металлопрокат
4,Арматура СП 8,бухты 50,23.0,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ СО (4725) 42-48-54,,Старый Оскол,8,Арматура СП,Металлопрокат
5,Арматура СП 8,бухты 50,30.0,,Российский металл Уфа (347) 222-20-18,,Уфа,8,Арматура СП,Металлопрокат
0,Арматура СП 10,бухты 50,21.0,,Стройсталь Мск (800) 250-72-28,,Москва,10,Арматура СП,Металлопрокат
1,Арматура СП 10,бухты 100,29.5,,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,10,Арматура СП,Металлопрокат
2,Арматура СП 10,бухты 50,29.5,,МеталлСервисГрупп Ива (4932) 930-330,,Иваново,10,Арматура СП,Металлопрокат
3,Арматура СП 10,бухты 100,29.5,,МеталлСервисГрупп Мск (4932) 930-330,,Москва,10,Арматура СП,Металлопрокат
4,Арматура СП 10,бухты 50,29.5,,МеталлСервисГрупп Мск (4932) 930-330,,Москва,10,Арматура СП,Металлопрокат
5,Арматура СП 10,бухты 50,34.0,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ Врнж (473) 207-55-55,,Воронеж,10,Арматура СП,Металлопрокат
6,Арматура СП 10,бухты 50,34.0,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ СО (4725) 42-48-54,,Старый Оскол,10,Арматура СП,Металлопрокат
7,Арматура СП 10,бухты 50,44.0,,Российский металл Уфа (347) 222-20-18,,Уфа,10,Арматура СП,Металлопрокат
0,Арматура СП 12,бухты 50,30.0,,Стройсталь Мск (800) 250-72-28,,Москва,12,Арматура СП,Металлопрокат
1,Арматура СП 12,бухты 50,50.0,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ Врнж (473) 207-55-55,,Воронеж,12,Арматура СП,Металлопрокат
2,Арматура СП 12,бухты 50,50.0,,КОРПОРАЦИЯ МЕТАЛЛИНВЕСТ СО (4725) 42-48-54,,Старый Оскол,12,Арматура СП,Металлопрокат
